trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10118010,1,2,INBOUND-DOWNTOWN,,1,1 -017,shp-1-10,1,1
10413070,1,4,INBOUND-DOWNTOWN,,1,1 -017,shp-1-10,1,1
10845010,1,2,INBOUND-DOWNTOWN,,1,1 -012,shp-1-10,1,1
10879070,1,4,INBOUND-DOWNTOWN,,1,1 -008,shp-1-10,1,1
10684080,1,3,INBOUND-DOWNTOWN,,1,1 -004,shp-1-10,1,1
10732080,1,3,INBOUND-DOWNTOWN,,1,1 -012,shp-1-10,1,1
10738080,1,3,INBOUND-DOWNTOWN,,1,1 -003,shp-1-10,1,1
11219020,1,1,INBOUND-DOWNTOWN,,1,1 -027,shp-1-10,1,1
1115080,1,3,INBOUND-DOWNTOWN,,1,1 -001,shp-1-10,1,1
12078020,1,1,INBOUND-DOWNTOWN,,1,1 -028,shp-1-10,1,1
12114080,1,3,INBOUND-DOWNTOWN,,1,1 -005,shp-1-10,1,1
12222020,1,1,INBOUND-DOWNTOWN,,1,1 -026,shp-1-10,1,1
12885010,1,2,INBOUND-DOWNTOWN,,1,1 -019,shp-1-10,1,1
13562010,1,2,INBOUND-DOWNTOWN,,1,1 -009,shp-1-10,1,1
13746020,1,1,INBOUND-DOWNTOWN,,1,1 -023,shp-1-10,1,1
10949010,1,2,INBOUND-DOWNTOWN,,1,1 -003,shp-1-10,1,1
1908080,1,3,INBOUND-DOWNTOWN,,1,1 -010,shp-1-10,1,1
1855010,1,2,INBOUND-DOWNTOWN,,1,1 -016,shp-1-10,1,1
2145020,1,1,INBOUND-DOWNTOWN,,1,1 -006,shp-1-10,1,1
2332010,1,2,INBOUND-DOWNTOWN,,1,1 -010,shp-1-10,1,1
11841010,1,2,INBOUND-DOWNTOWN,,1,1 -001,shp-1-10,1,1
12021070,1,4,INBOUND-DOWNTOWN,,1,1 -019,shp-1-10,1,1
12313020,1,1,INBOUND-DOWNTOWN,,1,1 -033,shp-1-10,1,1
1240070,1,4,INBOUND-DOWNTOWN,,1,1 -004,shp-1-10,1,1
12510010,1,2,INBOUND-DOWNTOWN,,1,1 -014,shp-1-10,1,1
2842080,1,3,INBOUND-DOWNTOWN,,1,1 -011,shp-1-10,1,1
3635080,1,3,INBOUND-DOWNTOWN,,1,1 -014,shp-1-10,1,1
428010,1,2,INBOUND-DOWNTOWN,,1,1 -018,shp-1-10,1,1
4600070,1,4,INBOUND-DOWNTOWN,,1,1 -010,shp-1-10,1,1
3387020,1,1,INBOUND-DOWNTOWN,,1,1 -020,shp-1-10,1,1
4126020,1,1,INBOUND-DOWNTOWN,,1,1 -024,shp-1-10,1,1
4213080,1,3,INBOUND-DOWNTOWN,,1,1 -016,shp-1-10,1,1
6543070,1,4,INBOUND-DOWNTOWN,,1,1 -001,shp-1-10,1,1
4841080,1,3,INBOUND-DOWNTOWN,,1,1 -006,shp-1-10,1,1
671070,1,4,INBOUND-DOWNTOWN,,1,1 -003,shp-1-10,1,1
7116020,1,1,INBOUND-DOWNTOWN,,1,1 -011,shp-1-10,1,1
7275080,1,3,INBOUND-DOWNTOWN,,1,1 -018,shp-1-10,1,1
7383020,1,1,INBOUND-DOWNTOWN,,1,1 -018,shp-1-10,1,1
5690070,1,4,INBOUND-DOWNTOWN,,1,1 -018,shp-1-10,1,1
3045010,1,2,INBOUND-DOWNTOWN,,1,1 -004,shp-1-10,1,1
3127020,1,1,INBOUND-DOWNTOWN,,1,1 -010,shp-1-10,1,1
8006070,1,4,INBOUND-DOWNTOWN,,1,1 -005,shp-1-10,1,1
8034070,1,4,INBOUND-DOWNTOWN,,1,1 -006,shp-1-10,1,1
6288010,1,2,INBOUND-DOWNTOWN,,1,1 -005,shp-1-10,1,1
3572020,1,1,INBOUND-DOWNTOWN,,1,1 -017,shp-1-10,1,1
3632020,1,1,INBOUND-DOWNTOWN,,1,1 -037,shp-1-10,1,1
8155010,1,2,INBOUND-DOWNTOWN,,1,1 -006,shp-1-10,1,1
8156080,1,3,INBOUND-DOWNTOWN,,1,1 -007,shp-1-10,1,1
8521080,1,3,INBOUND-DOWNTOWN,,1,1 -002,shp-1-10,1,1
4164070,1,4,INBOUND-DOWNTOWN,,1,1 -002,shp-1-10,1,1
8708020,1,1,INBOUND-DOWNTOWN,,1,1 -015,shp-1-10,1,1
888080,1,3,INBOUND-DOWNTOWN,,1,1 -015,shp-1-10,1,1
9640020,1,1,INBOUND-DOWNTOWN,,1,1 -004,shp-1-10,1,1
9747020,1,1,INBOUND-DOWNTOWN,,1,1 -022,shp-1-10,1,1
9818070,1,4,INBOUND-DOWNTOWN,,1,1 -015,shp-1-10,1,1
7466020,1,1,INBOUND-DOWNTOWN,,1,1 -032,shp-1-10,1,1
6151010,1,2,INBOUND-DOWNTOWN,,1,1 -002,shp-1-10,1,1
6407080,1,3,INBOUND-DOWNTOWN,,1,1 -019,shp-1-10,1,1
84020,1,1,INBOUND-DOWNTOWN,,1,1 -003,shp-1-10,1,1
8646010,1,2,INBOUND-DOWNTOWN,,1,1 -015,shp-1-10,1,1
8851070,1,4,INBOUND-DOWNTOWN,,1,1 -016,shp-1-10,1,1
7192020,1,1,INBOUND-DOWNTOWN,,1,1 -034,shp-1-10,1,1
7396020,1,1,INBOUND-DOWNTOWN,,1,1 -012,shp-1-10,1,1
9285010,1,2,INBOUND-DOWNTOWN,,1,1 -011,shp-1-10,1,1
9593020,1,1,INBOUND-DOWNTOWN,,1,1 -002,shp-1-10,1,1
7476020,1,1,INBOUND-DOWNTOWN,,1,1 -025,shp-1-10,1,1
7523010,1,2,INBOUND-DOWNTOWN,,1,1 -008,shp-1-10,1,1
797020,1,1,INBOUND-DOWNTOWN,,1,1 -038,shp-1-10,1,1
8832080,1,3,INBOUND-DOWNTOWN,,1,1 -013,shp-1-10,1,1
9692020,1,1,INBOUND-DOWNTOWN,,1,1 -005,shp-1-10,1,1
10919070,1,4,INBOUND-DOWNTOWN,,1,1 -012,shp-1-10,1,1
11168070,1,4,INBOUND-DOWNTOWN,,1,1 -013,shp-1-10,1,1
11580020,1,1,INBOUND-DOWNTOWN,,1,1 -014,shp-1-10,1,1
11907010,1,2,INBOUND-DOWNTOWN,,1,1 -007,shp-1-10,1,1
1343070,1,4,INBOUND-DOWNTOWN,,1,1 -009,shp-1-10,1,1
13812070,1,4,INBOUND-DOWNTOWN,,1,1 -007,shp-1-10,1,1
13982070,1,4,INBOUND-DOWNTOWN,,1,1 -014,shp-1-10,1,1
2195020,1,1,INBOUND-DOWNTOWN,,1,1 -009,shp-1-10,1,1
2780080,1,3,INBOUND-DOWNTOWN,,1,1 -017,shp-1-10,1,1
2911020,1,1,INBOUND-DOWNTOWN,,1,1 -001,shp-1-10,1,1
2997070,1,4,INBOUND-DOWNTOWN,,1,1 -011,shp-1-10,1,1
3347020,1,1,INBOUND-DOWNTOWN,,1,1 -030,shp-1-10,1,1
3842080,1,3,INBOUND-DOWNTOWN,,1,1 -008,shp-1-10,1,1
5283020,1,1,INBOUND-DOWNTOWN,,1,1 -007,shp-1-10,1,1
6159020,1,1,INBOUND-DOWNTOWN,,1,1 -008,shp-1-10,1,1
6252010,1,2,INBOUND-DOWNTOWN,,1,1 -013,shp-1-10,1,1
6306020,1,1,INBOUND-DOWNTOWN,,1,1 -013,shp-1-10,1,1
7736020,1,1,INBOUND-DOWNTOWN,,1,1 -019,shp-1-10,1,1
7827080,1,3,INBOUND-DOWNTOWN,,1,1 -009,shp-1-10,1,1
7939020,1,1,INBOUND-DOWNTOWN,,1,1 -021,shp-1-10,1,1
8078020,1,1,INBOUND-DOWNTOWN,,1,1 -016,shp-1-10,1,1
8030020,1,1,OUTBOUND-TARENTUM,,0,1 -023,shp-1-63,1,1
7976070,1,4,OUTBOUND-TARENTUM,,0,1 -006,shp-1-63,1,1
5474080,1,3,OUTBOUND-TARENTUM,,0,1 -002,shp-1-63,1,1
5525010,1,2,OUTBOUND-TARENTUM,,0,1 -014,shp-1-63,1,1
4513020,1,1,OUTBOUND-TARENTUM,,0,1 -038,shp-1-63,1,1
4531080,1,3,OUTBOUND-TARENTUM,,0,1 -018,shp-1-63,1,1
4768070,1,4,OUTBOUND-TARENTUM,,0,1 -004,shp-1-63,1,1
4037080,1,3,OUTBOUND-TARENTUM,,0,1 -007,shp-1-63,1,1
3517080,1,3,OUTBOUND-TARENTUM,,0,1 -013,shp-1-63,1,1
