,Route,2025-02-04 16:38:35,2025-02-04 16:39:05,2025-02-04 16:39:37,2025-02-04 16:40:07,2025-02-04 16:40:37
0,1,6,6,6,6,6
1,2,2,2,2,3,3
2,4,2,2,2,2,2
3,6,1,1,1,2,2
4,8,5,5,5,5,4
5,11,1,1,1,1,1
6,12,3,3,3,3,3
7,13,5,5,5,5,5
8,14,2,2,2,2,2
9,15,3,3,3,3,3
10,16,6,6,5,5,5
11,17,3,3,3,3,3
12,18,1,1,1,1,1
13,19L,2,2,2,2,2
14,20,2,2,2,2,2
15,21,3,3,3,3,3
16,22,2,2,2,2,2
17,24,4,4,3,3,3
18,26,2,2,2,2,2
19,27,3,3,3,3,3
20,29,3,3,3,3,3
21,31,2,2,2,2,2
22,36,2,2,2,2,2
23,38,3,3,3,3,3
24,39,2,2,2,2,2
25,40,1,1,1,1,1
26,41,2,2,2,2,2
27,43,1,1,1,1,1
28,44,3,3,3,3,3
29,48,3,3,3,3,3
30,51,10,10,10,10,11
31,51L,2,2,2,2,2
32,52L,3,3,3,3,3
33,53L,2,2,2,3,3
34,54,8,7,7,7,7
35,55,4,4,4,4,4
36,56,3,3,3,3,3
37,57,2,2,2,2,2
38,58,2,2,2,2,2
39,59,6,5,5,5,5
40,60,1,1,1,1,1
41,61A,9,9,9,9,9
42,61B,11,11,11,11,11
43,61C,6,6,6,6,6
44,61D,5,5,5,5,5
45,64,3,3,3,3,3
46,65,2,2,2,2,2
47,67,4,4,4,4,4
48,69,4,4,4,4,4
49,71A,4,4,3,3,3
50,71B,7,7,7,7,7
51,71C,3,3,3,3,3
52,71D,4,4,4,3,2
53,74,2,2,2,2,2
54,75,5,5,5,5,5
55,77,3,3,3,3,3
56,79,1,1,1,1,1
57,81,3,3,3,3,3
58,82,4,4,4,4,4
59,83,3,3,3,3,3
60,86,3,3,2,3,3
61,87,5,5,5,5,5
62,88,3,3,3,3,3
63,89,1,1,1,1,1
64,91,7,7,7,7,7
65,93,5,5,5,5,5
66,28X,2,2,2,2,2
67,G2,2,2,2,2,2
68,G3,4,4,4,4,4
69,G31,2,2,2,2,2
70,O1,1,1,1,1,1
71,O5,1,1,1,1,1
72,O12,4,4,4,4,4
73,P1,9,9,9,9,8
74,P3,4,4,4,4,4
75,P7,4,4,4,4,4
76,P10,2,2,2,2,2
77,P12,3,3,3,3,3
78,P16,3,3,3,3,3
79,P17,3,3,3,3,3
80,P67,1,1,1,1,1
81,P68,5,5,5,5,5
82,P69,1,1,1,1,1
83,P71,1,1,1,1,1
84,P76,3,3,3,3,3
85,P78,3,3,3,3,3
86,Y46,4,4,4,4,4
87,Y47,1,1,1,1,1
88,Y49,2,2,2,2,2
